id;kode_satpel;kode_upt;nama;nama_en;wilayah_kerja;nama_satpel;kota;kode_pelabuhan;tembusan;otoritas_pelabuhan;syah_bandar_pelabuhan;kepala_kantor_bea_cukai;nama_pengelola;stat_ppkol;stat_insw;created_at;updated_at;deleted_at
1;"0000";"00";"Kantor Pusat";"";"Jakarta";"Kantor Pusat";"Jakarta";\N;\N;\N;\N;\N;\N;"";"";2024-01-12 15:44:31;\N;\N
2;"1100";"11";"Balai Karantina Hewan, Ikan, dan Tumbuhan Nangroe Aceh Darussalam";"";"Provinsi Nanggroe Aceh Darussalam";"UPT Induk";"Banda Aceh";\N;\N;\N;\N;\N;\N;"";"";2024-01-12 15:44:31;\N;\N
3;"1101";"11";"Balai Karantina Hewan, Ikan, dan Tumbuhan Nangroe Aceh Darussalam";"";"Provinsi Nanggroe Aceh Darussalam";"Bandara Iskandar Muda";"Banda Aceh";\N;\N;\N;\N;\N;\N;"";"";2024-01-12 15:44:31;\N;\N
4;"1102";"11";"Balai Karantina Hewan, Ikan, dan Tumbuhan Nangroe Aceh Darussalam";"";"Provinsi Nanggroe Aceh Darussalam";"Pelabuhan Laut Sabang";"Banda Aceh";\N;\N;\N;\N;\N;\N;"";"";2024-01-12 15:44:31;\N;\N
5;"1103";"11";"Balai Karantina Hewan, Ikan, dan Tumbuhan Nangroe Aceh Darussalam";"";"Provinsi Nanggroe Aceh Darussalam";"Pelabuhan Laut Lhokseumawe";"Banda Aceh";\N;\N;\N;\N;\N;\N;"";"";2024-01-12 15:44:31;\N;\N
6;"1104";"11";"Balai Karantina Hewan, Ikan, dan Tumbuhan Nangroe Aceh Darussalam";"";"Provinsi Nanggroe Aceh Darussalam";"Pelabuhan Laut Meulaboh";"Banda Aceh";\N;\N;\N;\N;\N;\N;"";"";2024-01-12 15:44:31;\N;\N
7;"1105";"11";"Balai Karantina Hewan, Ikan, dan Tumbuhan Nangroe Aceh Darussalam";"";"Provinsi Nanggroe Aceh Darussalam";"Pelabuhan Laut Sinabang";"Banda Aceh";\N;\N;\N;\N;\N;\N;"";"";2024-01-12 15:44:31;\N;\N
8;"1106";"11";"Balai Karantina Hewan, Ikan, dan Tumbuhan Nangroe Aceh Darussalam";"";"Provinsi Nanggroe Aceh Darussalam";"Pelabuhan Laut Kuala Langsa";"Banda Aceh";\N;\N;\N;\N;\N;\N;"";"";2024-01-12 15:44:31;\N;\N
9;"1107";"11";"Balai Karantina Hewan, Ikan, dan Tumbuhan Nangroe Aceh Darussalam";"";"Provinsi Nanggroe Aceh Darussalam";"Pelabuhan Laut Simeuleu";"Banda Aceh";\N;\N;\N;\N;\N;\N;"";"";2024-01-12 15:44:31;\N;\N
10;"1200";"12";"Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Sumatera Utara";"";"Provinsi Sumatera Utara";"UPT Induk";"Medan";\N;\N;\N;\N;\N;\N;"";"";2024-01-12 15:44:31;\N;\N
11;"1201";"12";"Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Sumatera Utara";"";"Provinsi Sumatera Utara";"Bandara Kualanamu";"Medan";\N;\N;\N;\N;\N;\N;"";"";2024-01-12 15:44:31;\N;\N
12;"1202";"12";"Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Sumatera Utara";"";"Provinsi Sumatera Utara";"Bandara Sisingamangaraja";"Medan";\N;\N;\N;\N;\N;\N;"";"";2024-01-12 15:44:31;\N;\N
13;"1203";"12";"Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Sumatera Utara";"";"Provinsi Sumatera Utara";"Pelabuhan Belawan";"Medan";\N;\N;\N;\N;\N;\N;"";"";2024-01-12 15:44:31;\N;\N
14;"1204";"12";"Balai Besar Karantina Hewan, Ikan, dan Tumbuhan Sumatera Utara";"";"Provinsi Sumatera Utara";"Pelabuhan Tanjung Balai Asahan";"Medan";\N;\N;\N;\N;\N;\N;"";"";2024-01-12 15:44:31;\N;\N
